Unnamed: 0,Unnamed: 1,First Contact (sec.),Last Contact (sec.),Integ. Pressure (p x sec.),Foot Length (cm.),Foot Length %,Foot Width (cm.),Foot Area (cm. x cm.),Foot Angle (degrees),Toe In/Out Angle (degrees),Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.),Foot Center X Location (cm.),Foot Center Y Location (cm.),Step Length (cm.),Absolute Step Length (cm.),Stride Length (cm.),Stride Width (cm.),Step Time (sec.),Stride Time (sec.),Stride Velocity (cm./sec.),DOP (degrees),Gait Cycle Time (sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %,Total D. Support (sec.),Total D. Support %,CISP Time (sec.),CISP AP (%),CISP ML (%),Stance COP Dist. (cm.),SS COP Dist. (cm.),DS COP Dist. (cm.),Stance COP Dist. %,SS COP Dist. %,Stance COP Path Eff. %,SS COP Path Eff. %,DS COP Path Eff.%,Velocity (cm./sec.),Ambulation Time (sec.),Cadence (steps/min.),FAP,Mean GVI,Left GVI,Right GVI,Walk Ratio (cm./(steps/min.))
#Samples,,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,74.0,94.0,94.0,94.0,94.0,94.0,94.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,94.0,74.0,74.0,74.0,74.0,64.0,84.0,64.0,84.0,74.0,74.0,64.0,54.0,54.0,54.0,94.0,74.0,84.0,94.0,74.0,94.0,74.0,84.0,,,,,,,,
#Samples,Left,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,34.0,44.0,44.0,44.0,44.0,44.0,44.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,44.0,34.0,34.0,34.0,40.0,30.0,40.0,30.0,44.0,34.0,40.0,30.0,24.0,24.0,24.0,44.0,40.0,44.0,44.0,40.0,44.0,40.0,44.0,,,,,,,,
#Samples,Right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,40.0,40.0,40.0,34.0,34.0,44.0,34.0,40.0,40.0,34.0,34.0,30.0,30.0,30.0,50.0,34.0,40.0,50.0,34.0,50.0,34.0,40.0,,,,,,,,
Mean,,41.103,41.819,178.272,31.833,95.32,12.902,322.497,7.489,11.016,302.531,26.799,301.925,26.88,302.228,26.839,60.126,60.911,120.184,9.532,0.548,1.098,109.467,-48.459,1.098,0.725,65.848,0.375,34.152,0.375,34.344,0.173,15.669,0.173,15.778,0.347,31.517,41.179,6.965,4.499,28.213,9.728,52.219,84.497,29.171,97.228,97.836,99.967,109.415,46.233,109.012,,106.871,108.936,104.805,0.552
Mean,Left,40.113,40.832,174.948,31.786,96.532,12.778,318.941,-74.012,11.589,296.166,26.9,294.816,26.952,295.491,26.926,60.626,61.39,120.164,9.427,0.54,1.099,109.382,-52.487,1.099,0.727,66.171,0.372,33.829,0.378,34.798,0.177,15.991,0.17,15.335,0.347,31.366,39.391,6.472,2.147,28.575,9.398,51.266,86.782,28.542,97.061,97.929,99.956,,,,,,,,
Mean,Right,41.973,42.688,181.198,31.874,94.254,13.01,325.626,79.21,10.529,308.133,26.709,308.181,26.815,308.157,26.762,59.7,60.503,120.201,9.621,0.555,1.098,109.54,-45.035,1.098,0.723,65.573,0.378,34.427,0.372,33.944,0.17,15.385,0.177,16.155,0.347,31.651,42.609,7.36,6.381,27.895,10.115,53.268,82.486,29.911,97.376,97.726,99.979,,,,,,,,
Ratio,L/R,0.956,0.957,0.966,0.997,1.024,0.982,0.979,-0.934,1.101,0.961,1.007,0.957,1.005,0.959,1.006,1.016,1.015,1.0,0.98,0.973,1.001,0.999,1.165,1.001,1.006,1.009,0.984,0.983,1.016,1.025,1.045,1.039,0.957,0.949,1.0,0.991,0.924,0.879,0.336,1.024,0.929,0.962,1.052,0.954,0.997,1.002,1.0,,,,,,,,
ASI,,4.531,4.442,3.51,0.278,-2.389,1.8,2.074,,-9.578,3.961,-0.714,4.433,-0.51,4.196,-0.612,-1.539,-1.456,0.031,2.031,2.696,-0.142,0.145,-15.283,-0.142,-0.635,-0.909,1.628,1.755,-1.628,-2.484,-4.377,-3.864,4.377,5.208,-0.018,0.904,7.848,12.837,99.293,-2.41,7.35,3.829,-5.076,4.685,0.324,-0.208,0.023,,,,,,,,
S.D.,,22.752,22.748,21.736,0.716,2.427,0.41,10.686,118.587,2.582,164.353,12.28,165.487,7.156,164.173,9.532,2.005,1.952,2.861,2.002,0.017,0.024,3.572,115.585,0.024,0.022,1.051,0.013,1.051,0.013,1.024,0.013,1.043,0.013,1.189,0.016,1.12,22.807,3.543,11.798,1.41,1.188,2.354,4.595,3.48,1.106,1.207,0.047,,,,,,,,
S.D.,Left,22.974,22.967,25.146,0.709,2.154,0.38,9.98,90.388,2.809,155.444,16.351,159.263,9.896,156.579,13.088,1.884,1.838,2.876,2.076,0.016,0.026,3.954,112.482,0.026,0.021,0.857,0.011,0.857,0.015,0.824,0.013,0.973,0.013,1.044,0.016,0.931,23.088,3.279,10.609,0.659,1.291,2.246,2.002,3.921,1.059,1.262,0.063,,,,,,,,
