Unnamed: 0,Unnamed: 1,First Contact (sec.),Last Contact (sec.),Integ. Pressure (p x sec.),Foot Length (cm.),Foot Length %,Foot Width (cm.),Foot Area (cm. x cm.),Foot Angle (degrees),Toe In/Out Angle (degrees),Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.),Foot Center X Location (cm.),Foot Center Y Location (cm.),Step Length (cm.),Absolute Step Length (cm.),Stride Length (cm.),Stride Width (cm.),Step Time (sec.),Stride Time (sec.),Stride Velocity (cm./sec.),DOP (degrees),Gait Cycle Time (sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %,Total D. Support (sec.),Total D. Support %,CISP Time (sec.),CISP AP (%),CISP ML (%),Stance COP Dist. (cm.),SS COP Dist. (cm.),DS COP Dist. (cm.),Stance COP Dist. %,SS COP Dist. %,Stance COP Path Eff. %,SS COP Path Eff. %,DS COP Path Eff.%,Velocity (cm./sec.),Ambulation Time (sec.),Cadence (steps/min.),FAP,Mean GVI,Left GVI,Right GVI,Walk Ratio (cm./(steps/min.))
#Samples,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,79.0,99.0,99.0,99.0,99.0,99.0,99.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,99.0,79.0,79.0,79.0,79.0,69.0,89.0,69.0,89.0,79.0,79.0,69.0,59.0,59.0,59.0,99.0,79.0,89.0,99.0,79.0,99.0,79.0,89.0,,,,,,,,
#Samples,Left,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,39.0,49.0,49.0,49.0,49.0,49.0,49.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,49.0,39.0,39.0,39.0,40.0,37.0,47.0,37.0,42.0,39.0,40.0,37.0,29.0,29.0,29.0,49.0,40.0,42.0,49.0,40.0,49.0,40.0,42.0,,,,,,,,
#Samples,Right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,40.0,40.0,40.0,39.0,32.0,42.0,32.0,47.0,40.0,39.0,32.0,30.0,30.0,30.0,50.0,39.0,47.0,50.0,39.0,50.0,39.0,47.0,,,,,,,,
Mean,,41.986,42.698,182.362,31.726,91.606,12.884,320.967,0.531,11.463,304.175,26.743,304.469,26.957,304.322,26.85,57.773,58.547,115.562,9.07,0.538,1.076,107.542,-4.619,1.076,0.72,66.261,0.363,33.739,0.363,33.671,0.176,16.271,0.176,16.299,0.351,32.477,42.903,5.336,-0.239,28.071,9.8,50.272,81.059,28.302,96.619,97.937,99.945,107.425,47.942,111.385,,117.728,119.613,115.844,0.519
Mean,Left,42.574,43.289,183.386,31.557,91.995,12.836,318.088,-79.16,11.938,301.58,26.32,302.264,27.135,301.922,26.727,58.181,58.973,115.164,9.231,0.533,1.076,107.147,-18.288,1.076,0.723,66.395,0.362,33.605,0.364,33.769,0.18,16.689,0.171,15.952,0.35,32.634,43.809,5.38,-1.298,28.187,9.746,49.397,82.17,28.412,97.36,98.199,99.915,,,,,,,,
Mean,Right,41.41,42.118,181.357,31.891,91.226,12.931,323.788,78.628,11.001,306.72,27.159,306.63,26.782,306.675,26.97,57.375,58.132,115.949,8.913,0.543,1.075,107.928,8.709,1.075,0.717,66.131,0.364,33.869,0.362,33.558,0.171,15.789,0.18,16.636,0.351,32.296,42.028,5.294,0.784,27.956,9.854,51.053,79.971,28.189,95.894,97.668,99.972,,,,,,,,
Ratio,L/R,1.028,1.028,1.011,0.99,1.008,0.993,0.982,-1.007,1.085,0.983,0.969,0.986,1.013,0.985,0.991,1.014,1.014,0.993,1.036,0.982,1.001,0.993,-2.1,1.001,1.008,1.004,0.993,0.992,1.007,1.006,1.051,1.057,0.952,0.959,0.999,1.01,1.042,1.016,-1.655,1.008,0.989,0.968,1.028,1.008,1.015,1.005,0.999,,,,,,,,
ASI,,-2.773,-2.74,-1.112,1.05,-0.84,0.734,1.776,,-8.174,1.69,3.138,1.434,-1.311,1.562,0.905,-1.395,-1.438,0.68,-3.501,1.819,-0.061,0.726,,-0.061,-0.804,-0.399,0.724,0.783,-0.724,-0.628,-4.957,-5.54,4.957,4.199,0.064,-1.041,-4.149,-1.608,,-0.824,1.101,3.297,-2.713,-0.789,-1.517,-0.543,0.057,,,,,,,,
S.D.,,22.991,22.992,25.036,0.877,2.515,0.39,11.242,119.614,3.442,167.267,12.399,166.714,6.821,166.262,9.407,2.696,2.664,4.389,2.784,0.022,0.031,5.713,127.573,0.031,0.032,1.5,0.018,1.5,0.018,1.48,0.018,1.642,0.018,1.568,0.025,1.819,23.046,3.561,14.231,2.102,1.369,2.613,6.155,3.954,3.964,1.656,0.061,,,,,,,,
S.D.,Left,23.213,23.216,25.658,0.857,2.499,0.403,11.557,89.777,3.492,170.304,15.294,166.989,8.684,167.938,11.913,2.75,2.751,4.554,2.801,0.023,0.032,5.945,128.132,0.032,0.034,1.061,0.014,1.061,0.021,1.779,0.018,1.708,0.018,1.421,0.027,1.993,23.347,3.569,15.068,2.018,1.393,2.193,5.882,4.061,0.743,1.277,0.075,,,,,,,,
S.D.,Right,22.993,22.99,24.63,0.873,2.496,0.375,10.272,90.252,3.373,165.926,8.831,168.11,4.372,166.275,6.158,2.615,2.542,4.244,2.794,0.02,0.031,5.526,127.215,0.031,0.031,1.835,0.021,1.835,0.014,1.051,0.018,1.443,0.018,1.646,0.023,1.607,23.116,3.614,13.55,2.195,1.36,2.73,6.279,3.891,5.459,1.952,0.022,,,,,,,,
%CV,,54.759,53.847,13.729,2.764,2.745,3.027,3.502,22543.561,30.03,54.99,46.364,54.756,25.303,54.634,35.033,4.667,4.549,3.798,30.698,4.017,2.907,5.312,-2762.105,2.907,4.489,2.263,4.972,4.445,4.972,4.395,10.485,10.094,10.485,9.619,7.023,5.601,53.716,66.738,-5946.923,7.487,13.972,5.198,7.593,13.971,4.103,1.691,0.061,,,,,,,,
%CV,Left,54.524,53.631,13.991,2.717,2.717,3.137,3.633,-113.411,29.251,56.471,58.11,55.246,32.002,55.623,44.571,4.727,4.664,3.955,30.344,4.226,3.006,5.548,-700.623,3.006,4.688,1.597,3.872,3.156,5.867,5.268,10.233,10.232,10.25,8.91,7.577,6.107,53.292,66.343,-1160.645,7.158,14.294,4.44,7.158,14.294,0.763,1.3,0.075,,,,,,,,
%CV,Right,55.525,54.585,13.581,2.736,2.736,2.901,3.172,114.784,30.659,54.097,32.516,54.825,16.325,54.219,22.831,4.558,4.372,3.66,31.353,3.642,2.846,5.12,1460.687,2.846,4.291,2.775,5.867,5.418,3.872,3.133,10.25,9.142,10.233,9.896,6.506,4.977,55.002,68.268,1727.619,7.851,13.803,5.348,7.851,13.803,5.693,1.999,0.022,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
